Threshold,Accuracy,Balanced Accuracy,Precision,Recall/Sensitivity,Specificity,NPV,F1-macro,ROC-AUC,Brier score
0.7000000000000001,0.40625,0.6041666666666666,1.0,0.20833333333333334,1.0,0.2962962962962963,0.4009852216748768,0.875,0.20014339554667712
0.705,0.40625,0.6041666666666666,1.0,0.20833333333333334,1.0,0.2962962962962963,0.4009852216748768,0.875,0.20014339554667712
0.71,0.40625,0.6041666666666666,1.0,0.20833333333333334,1.0,0.2962962962962963,0.4009852216748768,0.875,0.20014339554667712
0.715,0.40625,0.6041666666666666,1.0,0.20833333333333334,1.0,0.2962962962962963,0.4009852216748768,0.875,0.20014339554667712
0.72,0.40625,0.6041666666666666,1.0,0.20833333333333334,1.0,0.2962962962962963,0.4009852216748768,0.875,0.20014339554667712
0.725,0.40625,0.6041666666666666,1.0,0.20833333333333334,1.0,0.2962962962962963,0.4009852216748768,0.875,0.20014339554667712
0.73,0.40625,0.6041666666666666,1.0,0.20833333333333334,1.0,0.2962962962962963,0.4009852216748768,0.875,0.20014339554667712
0.735,0.40625,0.6041666666666666,1.0,0.20833333333333334,1.0,0.2962962962962963,0.4009852216748768,0.875,0.20014339554667712
0.74,0.40625,0.6041666666666666,1.0,0.20833333333333334,1.0,0.2962962962962963,0.4009852216748768,0.875,0.20014339554667712
0.7430668563016651,0.40625,0.6041666666666666,1.0,0.20833333333333334,1.0,0.2962962962962963,0.4009852216748768,0.875,0.20014339554667712
0.745,0.375,0.5833333333333334,1.0,0.16666666666666666,1.0,0.2857142857142857,0.36507936507936506,0.875,0.20014339554667712
0.75,0.375,0.5833333333333334,1.0,0.16666666666666666,1.0,0.2857142857142857,0.36507936507936506,0.875,0.20014339554667712
0.755,0.375,0.5833333333333334,1.0,0.16666666666666666,1.0,0.2857142857142857,0.36507936507936506,0.875,0.20014339554667712
0.76,0.375,0.5833333333333334,1.0,0.16666666666666666,1.0,0.2857142857142857,0.36507936507936506,0.875,0.20014339554667712
0.765,0.375,0.5833333333333334,1.0,0.16666666666666666,1.0,0.2857142857142857,0.36507936507936506,0.875,0.20014339554667712
0.77,0.375,0.5833333333333334,1.0,0.16666666666666666,1.0,0.2857142857142857,0.36507936507936506,0.875,0.20014339554667712
0.775,0.375,0.5833333333333334,1.0,0.16666666666666666,1.0,0.2857142857142857,0.36507936507936506,0.875,0.20014339554667712
0.78,0.375,0.5833333333333334,1.0,0.16666666666666666,1.0,0.2857142857142857,0.36507936507936506,0.875,0.20014339554667712
0.785,0.375,0.5833333333333334,1.0,0.16666666666666666,1.0,0.2857142857142857,0.36507936507936506,0.875,0.20014339554667712
0.7880778319353885,0.375,0.5833333333333334,1.0,0.16666666666666666,1.0,0.2857142857142857,0.36507936507936506,0.875,0.20014339554667712
0.79,0.34375,0.5625,1.0,0.125,1.0,0.27586206896551724,0.32732732732732733,0.875,0.20014339554667712
0.795,0.34375,0.5625,1.0,0.125,1.0,0.27586206896551724,0.32732732732732733,0.875,0.20014339554667712
0.8,0.34375,0.5625,1.0,0.125,1.0,0.27586206896551724,0.32732732732732733,0.875,0.20014339554667712
0.805,0.34375,0.5625,1.0,0.125,1.0,0.27586206896551724,0.32732732732732733,0.875,0.20014339554667712
0.807886668370148,0.34375,0.5625,1.0,0.125,1.0,0.27586206896551724,0.32732732732732733,0.875,0.20014339554667712
0.81,0.3125,0.5416666666666666,1.0,0.08333333333333333,1.0,0.26666666666666666,0.2874493927125506,0.875,0.20014339554667712
0.8150000000000001,0.3125,0.5416666666666666,1.0,0.08333333333333333,1.0,0.26666666666666666,0.2874493927125506,0.875,0.20014339554667712
0.8200000000000001,0.3125,0.5416666666666666,1.0,0.08333333333333333,1.0,0.26666666666666666,0.2874493927125506,0.875,0.20014339554667712
0.8250000000000001,0.3125,0.5416666666666666,1.0,0.08333333333333333,1.0,0.26666666666666666,0.2874493927125506,0.875,0.20014339554667712
0.8300000000000001,0.3125,0.5416666666666666,1.0,0.08333333333333333,1.0,0.26666666666666666,0.2874493927125506,0.875,0.20014339554667712
0.835,0.3125,0.5416666666666666,1.0,0.08333333333333333,1.0,0.26666666666666666,0.2874493927125506,0.875,0.20014339554667712
0.84,0.3125,0.5416666666666666,1.0,0.08333333333333333,1.0,0.26666666666666666,0.2874493927125506,0.875,0.20014339554667712
0.845,0.3125,0.5416666666666666,1.0,0.08333333333333333,1.0,0.26666666666666666,0.2874493927125506,0.875,0.20014339554667712
0.85,0.3125,0.5416666666666666,1.0,0.08333333333333333,1.0,0.26666666666666666,0.2874493927125506,0.875,0.20014339554667712
0.855,0.3125,0.5416666666666666,1.0,0.08333333333333333,1.0,0.26666666666666666,0.2874493927125506,0.875,0.20014339554667712
